PARID,BOROCODE,Postcode,Borough,Latitude,Longitude,NTA,Street_Address
1004911230,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911231,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911232,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911233,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911234,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911235,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911236,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911237,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911238,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911239,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911240,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911241,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911242,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911243,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911244,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911245,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911246,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911247,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911248,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911249,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911250,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911251,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911252,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911253,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911254,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911255,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911256,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911257,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911258,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911259,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911260,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911261,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911262,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911263,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911264,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911265,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911266,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911267,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911268,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911269,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911270,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911271,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911272,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911273,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911274,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911275,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911276,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911277,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911278,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911279,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911280,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911281,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
